ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
SUS.ST,2019-06-28,36.18,2020-02-28,70.05,190,6414.92,93.6,245,REGIME_OFF_10W
ASM.AS,2019-08-30,76.82,2020-02-28,104.43,110,3016.33,35.9,182,REGIME_OFF_10W
VIT-B.ST,2019-10-04,144.22,2020-02-28,183.08,34,1301.33,26.9,147,REGIME_OFF_10W
ZEAL.CO,2019-10-25,185.92,2020-02-28,240.39,35,1886.35,29.3,126,REGIME_OFF_10W
QTCOM.HE,2019-06-28,13.27,2020-03-06,20.7,598,4423.14,56.0,252,REGIME_OFF_10W
CLNX.MC,2019-10-04,30.85,2020-03-13,33.3,272,645.35,7.9,161,REGIME_OFF_10W
CHEMM.CO,2019-11-01,195.97,2020-03-13,206.46,24,231.7,5.4,133,REGIME_OFF_10W
TEN.WA,2019-11-08,171.85,2020-03-13,204.47,45,1447.79,19.0,126,REGIME_OFF_10W
DHER.DE,2020-06-05,85.89,2020-08-21,94.49,105,882.78,10.0,77,REGIME_OFF_10W
IXX.DE,2020-06-05,30.05,2020-08-21,30.35,315,73.87,1.0,77,REGIME_OFF_10W
CHEMM.CO,2020-06-05,331.65,2020-09-04,363.18,24,736.6,9.5,91,REGIME_OFF_10W
SLR.MC,2020-06-05,9.85,2020-09-04,13.19,729,2418.29,34.0,91,REGIME_OFF_10W
SRT3.DE,2020-06-05,303.31,2020-09-04,322.78,24,447.26,6.4,91,REGIME_OFF_10W
CDR.WA,2020-06-05,392.55,2020-09-25,407.95,24,349.53,3.9,112,REGIME_OFF_10W
PNE3.DE,2020-06-05,4.78,2020-09-25,5.24,1976,888.66,9.6,112,REGIME_OFF_10W
TEN.WA,2020-09-18,570.84,2020-09-25,536.3,18,-641.63,-6.0,7,REGIME_OFF_10W
CHEMM.CO,2020-09-18,426.12,2020-10-23,399.0,23,-643.87,-6.4,35,REGIME_OFF_10W
AVON.L,2020-06-05,3165.75,2020-10-30,3905.38,1,719.63,23.4,147,REGIME_OFF_10W
PLUS.L,2020-09-18,1531.12,2020-10-30,1468.12,6,-397.97,-4.1,42,REGIME_OFF_10W
DIM.PA,2020-09-18,301.3,2020-11-20,300.69,34,-40.74,-0.2,63,REGIME_OFF_10W
SLR.MC,2020-12-11,18.98,2021-02-26,18.51,592,-302.65,-2.5,77,BELOW_30W_SMA
DHER.DE,2020-12-11,110.05,2021-02-26,105.17,103,-522.23,-4.4,77,BELOW_30W_SMA
LOGN.SW,2021-02-26,97.51,2021-03-05,85.75,146,-1736.38,-12.1,7,HARD_STOP
CWR.L,2020-09-18,590.94,2021-05-14,1015.89,11,4654.51,71.9,238,BELOW_30W_SMA
ADYEN.AS,2020-12-11,1836.13,2021-05-14,1692.69,6,-880.65,-7.8,154,BELOW_30W_SMA
SFQ.DE,2021-05-14,13.4,2021-06-25,11.98,1095,-1571.45,-10.6,42,HARD_STOP
FTK.DE,2020-12-11,13.39,2021-08-06,21.39,849,6772.74,59.7,238,BELOW_30W_SMA
TRI.PA,2021-03-05,151.86,2021-09-17,165.77,82,1120.74,9.2,196,BELOW_30W_SMA
PNL.AS,2021-02-26,3.54,2021-09-24,4.19,2125,1366.17,18.4,210,BELOW_30W_SMA
EVO.ST,2020-12-11,795.16,2021-10-01,1388.82,14,8291.31,74.7,294,BELOW_30W_SMA
HFG.DE,2020-12-11,61.71,2021-10-22,78.59,128,2140.4,27.4,315,BELOW_30W_SMA
QTCOM.HE,2020-06-05,25.63,2021-11-26,129.15,369,38180.17,404.0,539,REGIME_OFF_10W
DBG.PA,2021-09-17,9.85,2021-11-26,9.12,1484,-1110.52,-7.5,70,REGIME_OFF_10W
VBK.DE,2021-06-25,43.54,2021-12-03,61.99,308,5663.19,42.4,161,REGIME_OFF_10W
ADDV-B.ST,2021-10-22,8.57,2021-12-03,7.48,1563,-1724.06,-12.7,42,REGIME_OFF_10W
MIPS.ST,2020-12-11,472.95,2022-01-14,887.54,24,9930.09,87.7,399,BELOW_30W_SMA
EQT.ST,2021-12-10,515.36,2022-01-14,419.09,26,-2523.02,-18.7,35,HARD_STOP
BUFAB.ST,2021-12-10,85.12,2022-01-14,75.02,199,-2030.0,-11.9,35,HARD_STOP
FAN.L,2021-05-14,421.6,2022-01-21,486.06,15,946.9,15.3,252,REGIME_OFF_10W
